	MHCI	MHCII	Coactivation_molecules	Effector_cells	T_cell_traffic	NK_cells	T_cells	B_cells	M1_signatures	Th1_signature	Antitumor_cytokines	Checkpoint_inhibition	Treg	Neutrophil_signature	MDSC	M2_signature	Th2_signature	Protumor_cytokines	CAF	Angiogenesis	Proliferation_rate	Tumor_suppressors	Oncogenes	Lgr5_ISC	MYC_targets_2	Th17_signature	Gd_T_cells
GSM387987	-0.7973905739496495	-3.3797017272338143	-0.5806114106806318	-0.9835508312212996	-0.8562312354215037	-1.3418469632414078	-1.5307883963758708	-0.6205161522527186	-0.6948056153744037	-1.352148360954439	-0.5761419410273115	-1.3670818947187464	-1.248103569824101	-0.8113739596049052	-1.285451839567178	-1.164622665046809	-1.0700561413894571	-0.9589657292910019	-0.8644714804221254	-1.010463585014108	1.0373561852628288	-2.213832615484612	1.706426006087822	0.3557642457398416	1.2804438364571298	-2.139402944437387	-1.2006399351397572
GSM387874	0.36882619717294135	-0.5559093370435851	-0.08105693850700123	-0.7818570020439726	1.2861154430939068	-0.642484189909547	-0.7699386650646253	-0.5221934588261009	1.7372552497285927	-0.7655271399196021	2.8798505438096123	0.4353625832307428	0.36806638764624483	1.2238520146048186	1.4295095482158555	0.2525647928021394	0.01841653530104934	1.7413661128018048	2.006178941426452	2.0786976420783088	0.08265545288580639	-0.6369161234805362	-0.24063481773035525	0.7940164884752201	-0.4115732771816725	-0.34952309527592024	-0.8419104508112537
GSM387885	1.7478150057738338	0.8557627892880383	1.7103600118720894	0.29788111167551523	0.14620335916542657	-1.1862267866115128	2.735935669809992	3.5711483624727753	-1.8130914088253764	1.2069100999896667	-0.9797920070802433	1.3146173293090988	0.7513750980744256	-1.1301815113377711	-0.9288198161625261	-1.877708310660008	0.9143318108426818	-1.0752692146238565	-0.9006449937639873	0.5904367669644904	-0.5851525502671764	-0.1042264970107886	-0.49980090292170753	-0.3042464767337435	-0.4790023404064293	0.5221421679956295	0.836776021246483
GSM387944	0.02610491884960529	-0.3569060063896948	-0.04003088656614121	0.09856256082677668	-0.35220017562982286	-0.48014386771517764	0.2115869135947494	2.0051369346119756	0.7025223858702497	-0.6888462833454774	0.07945822040294646	-0.9205914272106589	0.020186337700299855	0.386629715095625	-0.87757015273983	-1.252614674813964	0.3361169114113217	-1.229653284175066	-1.3143289913356206	-1.7364011442205225	0.16707295122289734	0.012732939497419165	0.9722437605615872	-1.2496726909492961	0.8681616205427047	0.6988350535365757	0.06588200888373824
GSM387955	-0.425287627674097	-2.143680421590997	-0.9880144115933175	-0.6462251764599976	-0.6954112452588044	-0.8319610305608355	-0.939463423148019	-0.7783091355725749	0.35726272253671265	-1.62933709616691	-0.1851188689740466	-0.44787061896459607	-0.7225128190934738	-0.7943780238404886	-0.40842648867956	-0.35547185303505563	-0.8332938476658973	0.2688522066419293	0.19735315791664346	0.16545079286459935	0.40188177867369884	-0.02465339381823444	1.5618406688784343	0.2644319483141538	1.1065781780532449	-0.6192821863169073	-0.7752458790211019
GSM387836	-0.3342602112002641	0.6696858901804787	-0.5931550012055842	-0.7944387390715554	0.037263119556823224	-0.756236837505831	-0.4509829774689241	-0.6711143337720654	-0.7812245322583979	-0.4513635771281316	0.012265958235346599	-0.7438490713148004	-0.9042423851963735	-0.22661321539355034	-0.44313613864376755	-0.7051309950759796	-0.7457741152890786	-0.1784396712963519	-0.8922686168871318	0.24407584307993255	-0.3840874241326787	-0.20306617404869848	0.15241262908628997	0.046625770133695725	-0.6792897644738538	0.5082765642410948	-0.1887544964755241
GSM387824	-0.8830742358726374	0.2529449769174634	-0.26932703736963126	0.8333358813280826	-0.09181737210303424	1.467125094446237	0.15983564565137645	-0.3250629190188099	0.05486219182490815	0.4937497562907927	0.051773183382994935	0.2678108192568687	1.3951325251387614	3.5307209344052417	1.9875781054076957	1.6436609031495202	1.267081875183522	1.513892175866072	-0.7682887075206231	-0.03950698969831527	-1.093268094522637	0.6241278132165761	-1.1598583864858207	1.5300164675182404	-0.8390931108883851	-1.3763104184933752	0.48439601408426475
GSM387922	1.357059120732554	0.4923690556412786	0.8332129026536627	1.126939887283625	1.6540804692021083	1.6538003589792414	0.10237876605833074	-0.5660923123344632	2.1725195353658444	3.1147890461878562	1.543796032948621	1.15787040825224	0.9653873886573446	0.5031709910263392	0.8774175428737027	-0.06118142611934849	-0.17994395439152808	0.16492499830516708	-0.6717627149408181	-1.490224294798871	1.6648181534263284	-0.19803624030433437	0.8156972819760857	-1.127937908936169	1.9914629625415605	2.3656598277935745	1.0645995135101696
GSM387832	-0.6629652189329152	0.3517168411082015	-0.594860389109939	0.1973571275987724	-0.4398635829878422	0.38659157216250306	0.5685576810035262	1.6916796718367686	-1.4098836495010423	0.10078125448536208	0.5968037230347163	-0.04907141512151408	-0.4946420863823398	0.9388352010817408	-0.5631592376091618	0.8918673817992525	-0.34381004970839657	-0.07346079439054971	0.32889557081656945	1.5280848772437776	-1.876810760796365	1.8490915857887777	-1.6432000054023397	1.6526796210036667	-1.8299640979716372	-0.7160246167371839	1.3338761055464226
GSM387936	0.08543801344412492	-0.9094159529689857	0.698980406104476	0.25401663385944323	-0.4908631195795607	0.4918121198236473	0.23490008689708652	-0.05822083659272883	0.3739010056160322	1.0804264250588649	0.4428177092524134	0.010292573170308838	0.9046470319509661	1.7060686659823496	1.3978863194890707	1.504861751876223	2.054470727276845	2.152253864066744	0.8309698893487212	3.294640269569417	-1.7029910617730355	2.405758436059467	-2.0619638669736644	0.7946671487289616	-1.1381667302294067	-1.1936731915635332	0.41853229157814104
GSM387791	2.4441449870493948	1.261773686175513	2.0123669111130145	1.867437965534065	1.5656830552643837	1.9117855374134334	2.308972151484268	3.9776638115289225	-0.6561615531354702	1.561089699854013	-0.2101683404335215	1.3822781262663322	0.16614671300553743	-0.9697964455239473	0.48791527228035053	-1.1036000327651416	2.5667123749251455	-1.1901983513173793	-2.019555915548699	0.2493362759866232	0.23110668720769753	1.6933582585703715	-0.7272670694820254	-0.9410223081971629	0.5015354908032134	2.237902211386057	2.957097101010138
